"","BIRTH","COUNTRY","GENDER","ObsValue","RATE","TIME_FORMAT","Time"
"132","FB","AUS","WMN","72","P_RATE","P1Y","2021"
"133","FB","AUS","TOT","64.4","N_RATE","P1Y","2000"
"134","FB","AUS","TOT","64","N_RATE","P1Y","2001"
"135","FB","AUS","TOT","64.5","N_RATE","P1Y","2002"
"136","FB","AUS","TOT","64.9","N_RATE","P1Y","2003"
"137","FB","AUS","TOT","66","N_RATE","P1Y","2004"
"138","FB","AUS","TOT","67.4","N_RATE","P1Y","2005"
"139","FB","AUS","TOT","67.9","N_RATE","P1Y","2006"
"140","FB","AUS","TOT","68.6","N_RATE","P1Y","2007"
"141","FB","AUS","TOT","69.8","N_RATE","P1Y","2008"
"142","FB","AUS","TOT","68.3","N_RATE","P1Y","2009"
"143","FB","AUS","TOT","69.2","N_RATE","P1Y","2010"
"144","FB","AUS","TOT","70.5","N_RATE","P1Y","2011"
"145","FB","AUS","TOT","70","N_RATE","P1Y","2012"
"146","FB","AUS","TOT","69.7","N_RATE","P1Y","2013"
"147","FB","AUS","TOT","69.6","N_RATE","P1Y","2014"
"148","FB","AUS","TOT","69.9","N_RATE","P1Y","2015"
"149","FB","AUS","TOT","70.3","N_RATE","P1Y","2016"
"150","FB","AUS","TOT","70.8","N_RATE","P1Y","2017"
"151","FB","AUS","TOT","72","N_RATE","P1Y","2018"
"152","FB","AUS","TOT","72.3","N_RATE","P1Y","2019"
"153","FB","AUS","TOT","71","N_RATE","P1Y","2020"
"154","FB","AUS","TOT","74.2","N_RATE","P1Y","2021"
"155","FB","AUS","TOT","6.7","U_RATE","P1Y","2000"
"156","FB","AUS","TOT","7.3","U_RATE","P1Y","2001"
"157","FB","AUS","TOT","6.8","U_RATE","P1Y","2002"
"158","FB","AUS","TOT","6.4","U_RATE","P1Y","2003"
"159","FB","AUS","TOT","5.5","U_RATE","P1Y","2004"
"160","FB","AUS","TOT","5.3","U_RATE","P1Y","2005"
"161","FB","AUS","TOT","5.1","U_RATE","P1Y","2006"
"162","FB","AUS","TOT","4.9","U_RATE","P1Y","2007"
"163","FB","AUS","TOT","4.6","U_RATE","P1Y","2008"
"164","FB","AUS","TOT","6.7","U_RATE","P1Y","2009"
"165","FB","AUS","TOT","5.5","U_RATE","P1Y","2010"
"166","FB","AUS","TOT","5.2","U_RATE","P1Y","2011"
"167","FB","AUS","TOT","5.4","U_RATE","P1Y","2012"
"168","FB","AUS","TOT","5.9","U_RATE","P1Y","2013"
"169","FB","AUS","TOT","6.1","U_RATE","P1Y","2014"
"170","FB","AUS","TOT","6.2","U_RATE","P1Y","2015"
"171","FB","AUS","TOT","6","U_RATE","P1Y","2016"
"172","FB","AUS","TOT","5.9","U_RATE","P1Y","2017"
"173","FB","AUS","TOT","5.5","U_RATE","P1Y","2018"
"174","FB","AUS","TOT","5.5","U_RATE","P1Y","2019"
"175","FB","AUS","TOT","7.1","U_RATE","P1Y","2020"
"176","FB","AUS","TOT","5.3","U_RATE","P1Y","2021"
"177","FB","AUS","TOT","69","P_RATE","P1Y","2000"
"178","FB","AUS","TOT","69","P_RATE","P1Y","2001"
"179","FB","AUS","TOT","69.2","P_RATE","P1Y","2002"
"180","FB","AUS","TOT","69.3","P_RATE","P1Y","2003"
"181","FB","AUS","TOT","69.9","P_RATE","P1Y","2004"
"182","FB","AUS","TOT","71.2","P_RATE","P1Y","2005"
"183","FB","AUS","TOT","71.5","P_RATE","P1Y","2006"
"184","FB","AUS","TOT","72.1","P_RATE","P1Y","2007"
"185","FB","AUS","TOT","73.2","P_RATE","P1Y","2008"
"186","FB","AUS","TOT","73.2","P_RATE","P1Y","2009"
"187","FB","AUS","TOT","73.3","P_RATE","P1Y","2010"
"188","FB","AUS","TOT","74.4","P_RATE","P1Y","2011"
"189","FB","AUS","TOT","74","P_RATE","P1Y","2012"
"190","FB","AUS","TOT","74.1","P_RATE","P1Y","2013"
"191","FB","AUS","TOT","74.1","P_RATE","P1Y","2014"
"192","FB","AUS","TOT","74.6","P_RATE","P1Y","2015"
"193","FB","AUS","TOT","74.7","P_RATE","P1Y","2016"
"194","FB","AUS","TOT","75.2","P_RATE","P1Y","2017"
"195","FB","AUS","TOT","76.2","P_RATE","P1Y","2018"
"196","FB","AUS","TOT","76.5","P_RATE","P1Y","2019"
"197","FB","AUS","TOT","76.4","P_RATE","P1Y","2020"
"198","FB","AUS","TOT","78.4","P_RATE","P1Y","2021"
"199","FB","AUT","MEN","76.1","N_RATE","P1Y","2000"
"200","FB","AUT","MEN","76.6","N_RATE","P1Y","2001"
"201","FB","AUT","MEN","73.4","N_RATE","P1Y","2002"
"202","FB","AUT","MEN","75.6","N_RATE","P1Y","2003"
"203","FB","AUT","MEN","70.2","N_RATE","P1Y","2004"
"204","FB","AUT","MEN","71.1","N_RATE","P1Y","2005"
"205","FB","AUT","MEN","72.5","N_RATE","P1Y","2006"
"206","FB","AUT","MEN","75","N_RATE","P1Y","2007"
"207","FB","AUT","MEN","74.9","N_RATE","P1Y","2008"
"208","FB","AUT","MEN","72.5","N_RATE","P1Y","2009"
"209","FB","AUT","MEN","73.5","N_RATE","P1Y","2010"
"210","FB","AUT","MEN","75","N_RATE","P1Y","2011"
"211","FB","AUT","MEN","73.5","N_RATE","P1Y","2012"
"212","FB","AUT","MEN","72.7","N_RATE","P1Y","2013"
